Principal_Component_1_Stratified,Principal_Component_2_Stratified
0.35602783880398375,-0.03975453564623544
0.6137727419752125,-0.033272897904179546
0.5252121855735696,-0.059035964631569
0.5666754609784997,-0.07535159144290178
-0.04880485711045059,-0.11963273124859382
0.0298630931247641,0.27979357831400276
0.7364967328680057,-0.14571586350393287
0.3233581570054914,-0.016142923699207667
0.5272300316737614,-0.14802420996252386
0.6100335447691095,-0.14872917190038093
0.5104367760270203,-0.12713071802081655
0.5273487495813093,-0.21328254878491312
0.09811503421239488,-0.21788084386457324
0.5147382195144914,0.053963789399253566
0.27943026579148167,-0.1388683561958327
0.6521310352211948,0.09501534032477169
0.2534764223290633,0.12516014655597207
0.5468820308305476,-0.21051009434357348
0.46396582894665594,0.08177787932278432
0.43129663917042876,0.041114952830035724
0.42306038644365673,-0.11416490854131474
0.36110818531088273,-0.2919636643960281
0.4011088936358366,-0.0750501790478841
0.5172008729970935,-0.10489529613122907
0.7514175779722183,-0.17340082650693395
0.35072855214519294,-0.10552293498260566
-0.6056871918849158,0.28903178975744537
-0.6822870079842697,0.10558286194253637
-0.6422564824917105,-0.10763341637920289
-0.5133722572060176,0.08066712097158328
-0.6814192663884834,0.23742696237543445
-0.6654875400822807,0.19184144946057974
-0.6568556445561518,0.0854700803647444
-0.6267389261110543,0.326825501115323
-0.7245314036966711,0.11020278298432065
-0.2941387382430947,0.025599848005622115
-0.1783162206119271,0.3589919402674831
-0.18869897977370795,0.012715602529849334
-0.13942046981739212,0.3788355060370955
-0.4695615851708552,0.006674656613329031
-0.6513288209849426,0.3306558781704263
-0.5394937807480684,0.1360122941497389
-0.45654301023605526,0.07466250052531245
-0.37349749139410926,0.003999290765372701
-0.4484622433408099,-0.06124719687591192
-0.7065672793688446,0.18190594862364592
-0.8573734500703882,0.18547858554493735
-0.8166844807742485,0.26949485183719973
-0.6914804334986087,0.05340154297736437
-1.0051832293671434,0.15492546802360518
-0.6974952818216479,0.2715404477984081
-0.3290315327941199,0.641531634894628
-0.8491563500275051,0.23990069147323143
-0.6375844564147931,0.082856698149145
-0.5516157520999995,0.18738122686417394
-0.30235933494292405,0.021601545460239815
-0.40655587380999747,0.054742496637049394
-0.8497011778738526,0.1482752056726657
-0.46735768955957824,-0.08097614715607929
-0.81275543555096,0.18315924402522107
-0.9872568214104304,0.15669938290184207
-0.5125730537587845,-0.02749254606758577
-0.782196168042709,0.3810929309599829
-0.8635553642315658,0.16569558441496615
-1.0606015998623828,0.15148290101063971
-0.521949521742917,0.3528789408053279
-0.4511409201218287,0.5484983105005681
-0.45890861302061575,0.08549958622807144
-0.5474919925209996,-0.04314789392042934
-0.2354957944221359,0.3912174658024086
-0.6363424963281994,0.1456843994491429
-0.5274835240835238,-0.03674874910306128
-0.39525744898152493,0.029940229305129937
-0.5364304504549807,0.15711252525661165
-0.40128127039136735,-0.08216389440414508
-0.34201230197673393,0.28263337865005045
-0.8797034467724926,0.20647401414339683
-0.6532216494998068,0.3651171656725118
-0.6333617564153257,0.27638971262361195
-0.7815986907153616,0.03382605509732435
-0.4500625643191776,0.19460075470099505
-0.6078411536270689,0.10937789194109457
-0.6790255714822715,0.16836783750616396
-0.8058129931743192,0.2255124559574696
-0.6037521456502016,0.017525394407284258
-0.8074995983124245,0.2012044091525908
-0.5920388750025612,-0.09118766273006369
-0.7755307437379125,0.3101242450581387
-0.23961434014384694,0.4712807046234303
-0.3119518574131494,0.5251249516252782
-0.7646684726128631,0.2302731825878902
-0.5390178264627725,-0.055158746541633
-0.6826365806787735,0.23520712752602574
-0.6069147804215689,0.3731483106825479
-0.7226010032743976,0.10384916164777733
-0.6075935270261698,0.11404438754664432
-1.0317777294901516,0.14173536576305415
-0.7777605471426995,0.26194977859962604
-0.7463301302677846,0.2044858906972356
-0.9023967346479561,0.20801732913407484
-0.6028076950423653,-0.00019462788894429505
-0.4454470038705553,0.24947489802648085
-1.0005787293024808,0.12672713349254366
-0.29322121454896544,0.15630104901938807
-0.5563575867739623,-0.00977725213034756
-0.28060393693140223,0.1303572083717068
-0.5324135970226337,0.38736438934281237
-0.7952231850288011,0.17410500045727395
-0.6365460873199165,0.23300661638390643
-0.12105312760417725,0.061958536330613635
-0.5218022995554065,0.1270789024026955
-0.3875271874134756,0.2939045119750725
-0.7064689422962297,0.18633448314406842
-0.33063297176119166,-0.024334448789733794
-0.8588815867437349,0.2009838721940099
-0.3774857041756356,0.06541631110807125
-0.665674725788917,0.20355330391816298
-0.35198951008742757,-0.08826007025201252
